Profile	Education	Gender	Country of Origin	Reason for Application	Job	Job Experience	Job Plans	Prior Entry	Language Skills
7432	two-year college	female	France	seek better job	nurse	1-2 years	contract with employer	never	broken English
7433	graduate degree	female	Iraq	reunite with family	waiter	3-5 years	will look for work	once as tourist	broken English
7434	graduate degree	male	India	seek better job	teacher	3-5 years	no plans to look for work	once w/o authorization	tried English but unable
7435	no formal	female	Philippines	reunite with family	gardener	none	contract with employer	many times as tourist	broken English
7436	no formal	female	France	reunite with family	waiter	1-2 years	will look for work	once w/o authorization	used interpreter
7437	college degree	female	Poland	reunite with family	doctor	none	contract with employer	six months with family	tried English but unable
7438	4th grade	female	Somalia	reunite with family	teacher	1-2 years	contract with employer	once w/o authorization	broken English
7439	two-year college	female	Philippines	seek better job	teacher	1-2 years	no plans to look for work	many times as tourist	broken English
7440	high school	male	Iraq	escape persecution	gardener	1-2 years	interviews with employer	many times as tourist	fluent English
7441	college degree	male	China	seek better job	waiter	none	will look for work	never	tried English but unable
7442	high school	female	China	escape persecution	teacher	1-2 years	no plans to look for work	once w/o authorization	tried English but unable
7443	4th grade	male	Poland	seek better job	child care provider	3-5 years	contract with employer	never	tried English but unable
7444	college degree	male	India	reunite with family	child care provider	5+ years	interviews with employer	never	tried English but unable
7445	high school	male	France	seek better job	child care provider	3-5 years	no plans to look for work	six months with family	broken English
7446	8th grade	female	China	reunite with family	janitor	none	no plans to look for work	never	used interpreter
7447	college degree	female	Iraq	reunite with family	computer programmer	1-2 years	contract with employer	many times as tourist	fluent English
7448	two-year college	male	Somalia	reunite with family	teacher	1-2 years	interviews with employer	many times as tourist	used interpreter
7449	high school	male	India	reunite with family	teacher	3-5 years	will look for work	never	used interpreter
7450	8th grade	male	Philippines	reunite with family	child care provider	none	contract with employer	six months with family	tried English but unable
7451	high school	female	India	reunite with family	gardener	none	contract with employer	never	tried English but unable
7452	college degree	female	India	reunite with family	waiter	1-2 years	contract with employer	never	tried English but unable
7453	high school	male	France	reunite with family	gardener	5+ years	no plans to look for work	six months with family	used interpreter
7454	college degree	female	Philippines	reunite with family	janitor	3-5 years	interviews with employer	once as tourist	tried English but unable
7455	graduate degree	female	Mexico	reunite with family	construction worker	3-5 years	will look for work	once as tourist	tried English but unable
7456	college degree	female	Mexico	seek better job	teacher	none	will look for work	many times as tourist	broken English
7457	4th grade	female	Poland	reunite with family	waiter	3-5 years	will look for work	six months with family	tried English but unable
7458	no formal	female	India	seek better job	teacher	1-2 years	will look for work	once w/o authorization	broken English
7459	high school	male	Mexico	reunite with family	gardener	5+ years	contract with employer	once w/o authorization	fluent English
7460	8th grade	male	Sudan	escape persecution	nurse	1-2 years	no plans to look for work	many times as tourist	broken English
7461	no formal	female	Poland	reunite with family	teacher	3-5 years	no plans to look for work	many times as tourist	tried English but unable
7462	two-year college	male	China	escape persecution	nurse	none	no plans to look for work	once w/o authorization	tried English but unable
7463	high school	female	Sudan	seek better job	child care provider	1-2 years	contract with employer	many times as tourist	tried English but unable
7464	4th grade	female	Germany	seek better job	nurse	1-2 years	contract with employer	once w/o authorization	fluent English
7465	8th grade	male	Poland	reunite with family	gardener	1-2 years	no plans to look for work	once as tourist	fluent English
7466	high school	male	France	reunite with family	construction worker	5+ years	no plans to look for work	once as tourist	used interpreter
7467	college degree	female	China	seek better job	construction worker	none	contract with employer	once w/o authorization	broken English
7468	high school	female	Somalia	escape persecution	child care provider	1-2 years	interviews with employer	never	fluent English
7469	high school	male	India	seek better job	gardener	none	interviews with employer	six months with family	tried English but unable
7470	graduate degree	female	India	seek better job	financial analyst	5+ years	will look for work	once as tourist	tried English but unable
7471	no formal	female	China	seek better job	janitor	3-5 years	will look for work	once w/o authorization	broken English
7472	no formal	male	China	seek better job	construction worker	5+ years	contract with employer	once as tourist	fluent English
7473	graduate degree	male	France	reunite with family	nurse	5+ years	contract with employer	never	fluent English
7474	college degree	male	Philippines	reunite with family	waiter	none	interviews with employer	many times as tourist	broken English
7475	no formal	female	Germany	seek better job	waiter	1-2 years	will look for work	never	broken English
7476	high school	male	Philippines	reunite with family	teacher	3-5 years	contract with employer	once as tourist	tried English but unable
7477	no formal	female	Iraq	escape persecution	nurse	5+ years	will look for work	once as tourist	fluent English
